region,fixed_reliability,method,seed,p_mob,placement_trace_path,original_accepted_count,moved_count,moved_ratio,avg_original_delay,p95_original_delay,avg_updated_delay,p95_updated_delay,mobility_induced_qos_violation_ratio,updated_qos_violation_ratio,avg_delay_increment,p95_delay_increment,avg_ingress_backhaul_delay,avg_access_delay_delta
Arizona,0.999,MDCA,2,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed2\placement_trace_Arizona_mdca_seed2.json,894,97,0.10850111856823266,0.05636152149251374,0.11812970840001163,0.05695977532147677,0.1185356716026168,0.0,0.0,0.0005982538289630229,0.005588599683417085,0.0005904624941313695,7.791334831653381e-06
Arizona,0.999,MDCA,2,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed2\placement_trace_Arizona_mdca_seed2.json,894,185,0.20693512304250558,0.05636152149251374,0.11812970840001163,0.05744124314288045,0.1193453205357002,0.0,0.0,0.001079721650366718,0.00651375938181484,0.0010706358293386894,9.085821028028674e-06
Arizona,0.999,DMDCA,2,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\DMDCA\seed2\placement_trace_Arizona_mdca_seed2.json,1117,0,0.0,0.0677058848625799,0.13682256760784256,0.0677058848625799,0.13682256760784256,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,0.999,DMDCA,2,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\DMDCA\seed2\placement_trace_Arizona_mdca_seed2.json,1117,60,0.05371530886302596,0.0677058848625799,0.13682256760784256,0.06798921882549826,0.13682256760784256,0.0,0.0,0.0002833339629183399,0.002094430520577216,0.00028386650248376913,-5.325395654292368e-07
Arizona,0.999,DMDCA,2,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\DMDCA\seed2\placement_trace_Arizona_mdca_seed2.json,1117,102,0.09131602506714413,0.0677058848625799,0.13682256760784256,0.06818395055699264,0.1372569865490895,0.0017905102954341987,0.0017905102954341987,0.0004780656944127275,0.004916205109012712,0.00047447826722453137,3.587427188196172e-06
Arizona,0.999,DMDCA,2,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\DMDCA\seed2\placement_trace_Arizona_mdca_seed2.json,1117,231,0.20680393912264997,0.0677058848625799,0.13682256760784256,0.06879982835996752,0.1376178373820321,0.0,0.0,0.0010939434973876148,0.006859762038096594,0.0011045142928562918,-1.0570795468676908e-05
Arizona,0.999,MDCA,3,0.0,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed3\placement_trace_Arizona_mdca_seed3.json,967,0,0.0,0.055236153467574524,0.11176646077322487,0.055236153467574524,0.11176646077322487,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,0.999,MDCA,3,0.05,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed3\placement_trace_Arizona_mdca_seed3.json,967,37,0.038262668045501554,0.055236153467574524,0.11176646077322487,0.05543437185460889,0.1126963257072314,0.0,0.0,0.00019821838703435002,0.0,0.00020291286836160772,-4.6944813272576135e-06
Arizona,0.999,MDCA,3,0.1,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed3\placement_trace_Arizona_mdca_seed3.json,967,98,0.10134436401240951,0.055236153467574524,0.11176646077322487,0.05578286146713908,0.11213503984221812,0.0,0.0,0.0005467079995645471,0.005252204835495669,0.0005448460528574816,1.8619467070655206e-06
Arizona,0.999,MDCA,3,0.2,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Arizona\R0p999\MDCA\seed3\placement_trace_Arizona_mdca_seed3.json,967,189,0.1954498448810755,0.055236153467574524,0.11176646077322487,0.056290881913985576,0.11261009058981679,0.001034126163391934,0.001034126163391934,0.001054728446411049,0.006993295458174636,0.0010372917409732301,1.743670543781875e-05
